CA_MPA_Name_Short,year,mhw_icum_mpa
Abalone Cove SMCA,1983,208.5522003173828
Abalone Cove SMCA,1984,267.6539001464844
Abalone Cove SMCA,1985,0
Abalone Cove SMCA,1986,63.474098205566406
Abalone Cove SMCA,1987,16.29450035095215
Abalone Cove SMCA,1988,12.457900047302246
Abalone Cove SMCA,1989,10.450901985168457
Abalone Cove SMCA,1990,32.196502685546875
Abalone Cove SMCA,1991,0
Abalone Cove SMCA,1992,167.78041076660156
Abalone Cove SMCA,1993,44.28769302368164
Abalone Cove SMCA,1994,25.667598724365234
Abalone Cove SMCA,1995,32.25389862060547
Abalone Cove SMCA,1996,37.05410385131836
Abalone Cove SMCA,1997,306.3955993652344
Abalone Cove SMCA,1998,143.7751007080078
Abalone Cove SMCA,1999,0
Abalone Cove SMCA,2000,31.87940216064453
Abalone Cove SMCA,2001,0
Abalone Cove SMCA,2002,0
Abalone Cove SMCA,2003,6.117500305175781
Abalone Cove SMCA,2004,18.7344970703125
Abalone Cove SMCA,2005,19.357498168945312
Abalone Cove SMCA,2006,89.02330017089844
Abalone Cove SMCA,2007,16.444599151611328
Abalone Cove SMCA,2008,21.04340171813965
Abalone Cove SMCA,2009,20.832901000976562
Abalone Cove SMCA,2010,0
Abalone Cove SMCA,2011,0
Abalone Cove SMCA,2012,34.90610122680664
Abalone Cove SMCA,2013,45.191200256347656
Abalone Cove SMCA,2014,439.822998046875
Abalone Cove SMCA,2015,598.59759521484375
Abalone Cove SMCA,2016,165.53770446777344
Abalone Cove SMCA,2017,82.11920166015625
Abalone Cove SMCA,2018,267.4346008300781
Abalone Cove SMCA,2019,51.62909698486328
Abalone Cove SMCA,2020,133.76779174804688
Abalone Cove SMCA,2021,12.569900512695312
Anacapa Island SMCA,1983,297.93060302734375
Anacapa Island SMCA,1984,274.9587097167969
Anacapa Island SMCA,1985,0
Anacapa Island SMCA,1986,63.43590545654297
Anacapa Island SMCA,1987,63.963401794433594
Anacapa Island SMCA,1988,16.105899810791016
Anacapa Island SMCA,1989,17.365001678466797
Anacapa Island SMCA,1990,32.837894439697266
Anacapa Island SMCA,1991,0
Anacapa Island SMCA,1992,191.46270751953125
Anacapa Island SMCA,1993,73.37158966064453
Anacapa Island SMCA,1994,0
Anacapa Island SMCA,1995,0
Anacapa Island SMCA,1996,9.43489933013916
Anacapa Island SMCA,1997,357.5863037109375
