"Model","Term","estimate","se","tval","df","pval","ci.lb","ci.ub"
"Type (SMR vs SMCA)","intrcpt",0.146873977806277,0.213717626969313,0.687233804197937,138,0.493088729318426,-0.275710642993889,0.569458598606442
"Type (SMR vs SMCA)","Taxa_abbrevM. pyrifera",0.141260502671585,0.111774290820451,1.26380137717446,138,0.208432001897365,-0.0797511984753212,0.36227220381849
"Type (SMR vs SMCA)","Taxa_abbrevP. interruptus",1.0318002825935,0.0848171917313864,12.1649899216326,138,1.36519039114124e-23,0.864090948958188,1.1995096162288
"Type (SMR vs SMCA)","Taxa_abbrevS. pulcher",0.202022709196792,0.0529999291284456,3.81175432720276,138,0.000207178896088328,0.0972257616039028,0.306819656789682
"Type (SMR vs SMCA)","Taxa_abbrevS. purpuratus",-1.393079068093,0.0786581337033154,-17.7105532829885,138,2.39025347635761e-37,-1.54861007447385,-1.23754806171215
"Type (SMR vs SMCA)","typeSMR",0.180906172138779,0.232285407329616,0.77880988831154,138,0.437425127192624,-0.278392586535405,0.640204930812963
"Location (ML vs CI)","intrcpt",0.33061263695295,0.195965973299792,1.68709205677851,138,0.0938448016045257,-0.056871576169624,0.718096850075523
"Location (ML vs CI)","Taxa_abbrevM. pyrifera",0.142921032521161,0.111870034964522,1.27756313445765,138,0.203548565853915,-0.0782799838609441,0.364122048903266
"Location (ML vs CI)","Taxa_abbrevP. interruptus",1.03283345951488,0.0848248156473222,12.1760766779513,138,1.2786273206183e-23,0.865109051083585,1.20055786794617
"Location (ML vs CI)","Taxa_abbrevS. pulcher",0.200111010944951,0.0530301409476114,3.77353345416602,138,0.000238155353401917,0.0952543254150137,0.304967696474888
"Location (ML vs CI)","Taxa_abbrevS. purpuratus",-1.39199113253688,0.078668540431563,-17.6943810689843,138,2.60960840204319e-37,-1.54754271617835,-1.2364395488954
"Location (ML vs CI)","LocationML",-0.227515091443384,0.229894197387253,-0.989651300594328,138,0.324076633548675,-0.6820857022288,0.227055519342033
