"Taxa","MPA","Source","Model_Type","N_Obs","Uniformity_p","Dispersion_p","Outlier_p","Shapiro_p","Hetero_Cor","R_Squared","Pass_All","Notes"
"S. pulcher","Gull Island SMR","PISCO","CI_Linear",20,0.984,0.984,1,0.9978,-0.394,0.47,TRUE,"OK"
"S. pulcher","Harris Point SMR","PISCO","CI_Linear",17,0.4678,0.984,1,0.1147,0.683,0.109,FALSE,"heteroscedastic"
"S. pulcher","Matlahuayl SMR","PISCO","CI_Linear",7,0.887,0.968,1,0.376,-0.344,0.453,TRUE,"OK"
"S. pulcher","Naples SMCA","PISCO","CI_Linear",15,0.9093,0.936,1,0.2771,-0.501,0.003,FALSE,"heteroscedastic"
"S. pulcher","Point Vicente SMCA","PISCO","CI_Linear",18,0.817,0.928,1,0.5233,-0.573,0.404,FALSE,"heteroscedastic"
"S. pulcher","Scorpion SMR","PISCO","CI_Linear",20,0.8532,0.984,1,0.2418,0.218,0.019,TRUE,"OK"
"S. pulcher","South Point SMR","PISCO","CI_Linear",20,0.8195,0.984,1,0.9364,0.04,0.042,TRUE,"OK"
"S. pulcher","Blue Cavern Onshore SMCA","PISCO","CI_Linear",8,0.9872,0.92,1,0.5652,0.323,0.478,TRUE,"OK"
"S. pulcher","Farnsworth Onshore SMCA","PISCO","CI_Linear",6,0.843,0.968,1,0.4087,0.698,0.359,FALSE,"heteroscedastic"
"S. pulcher","Long Point SMR","PISCO","CI_Linear",8,0.4357,0.92,1,0.1962,0.001,0.29,TRUE,"OK"
"S. pulcher","Santa Barbara Island SMR","PISCO","CI_Linear",10,0.9967,0.952,1,0.9411,-0.392,0.623,TRUE,"OK"
"S. pulcher","Swamis SMCA","PISCO","CI_Linear",7,0.9659,0.968,1,0.7842,-0.964,0.302,FALSE,"heteroscedastic"
"S. purpuratus","Santa Barbara Island SMR","KFM","Step",41,0.4481,0.976,1,0.0384,-0.02,0.525,FALSE,"non-normal"
"S. purpuratus","Anacapa Island SMR 2003","KFM","CI_Linear",17,0.9633,0.984,1,0.2454,0.389,0.411,TRUE,"OK"
"S. purpuratus","South Point SMR","KFM","CI_Linear",17,0.7795,0.984,1,0.2086,0.288,0.628,TRUE,"OK"
"S. purpuratus","Anacapa Island SMR 2003","KFM","CI_Linear",17,0.9052,0.984,1,0.5351,0.218,0.415,TRUE,"OK"
"S. purpuratus","South Point SMR","KFM","CI_Linear",17,0.9771,0.984,1,0.9827,-0.204,0.195,TRUE,"OK"
"M. franciscanus","Scorpion SMR","KFM","Step",40,0.4886,1,0.2739,0.0564,0.098,0.194,TRUE,"OK"
"M. franciscanus","Gull Island SMR","KFM","Step",36,0.9943,0.984,1,0.6143,-0.053,0.039,TRUE,"OK"
"M. franciscanus","Harris Point SMR","KFM","Linear",40,0.9939,1,0.2739,0.9707,-0.138,0.052,TRUE,"OK"
"M. franciscanus","Anacapa Island SMR 2003","KFM","CI_Linear",17,0.9998,0.984,1,0.9995,-0.398,0.729,TRUE,"OK"
"M. franciscanus","South Point SMR","KFM","CI_Linear",17,0.7073,0.984,1,0.1666,0.051,0.152,TRUE,"OK"
"M. franciscanus","Scorpion SMR","KFM","Step",37,0.7539,0.936,0.2562,0.3228,-0.207,0.38,TRUE,"OK"
"M. franciscanus","Gull Island SMR","KFM","Linear",36,0.742,0.984,0.2502,0.2045,-0.159,0.215,TRUE,"OK"
"M. franciscanus","Anacapa Island SMR 2003","KFM","CI_Linear",17,0.9148,0.984,1,0.8277,-0.454,0.744,TRUE,"OK"
"M. franciscanus","South Point SMR","KFM","CI_Linear",17,0.3857,0.984,1,0.0493,-0.073,0.151,FALSE,"non-normal"
"M. pyrifera","Gull Island SMR","KFM","Linear",33,0.4566,0.96,1,0.1659,0.249,0.283,TRUE,"OK"
"M. pyrifera","Santa Barbara Island SMR","KFM","CI_Linear",37,0.7528,0.936,1,0.2334,0.033,0.346,TRUE,"OK"
"M. pyrifera","Anacapa Island SMR 2003","KFM","CI_Linear",17,0.8299,0.984,1,0.2143,0.275,0.069,TRUE,"OK"
"M. pyrifera","South Point SMR","KFM","CI_Linear",17,0.3565,0.984,1,0.0166,0.617,0.248,FALSE,"non-normal; heteroscedastic"
"P. interruptus","Scorpion SMR","KFM","Linear",39,0.7302,0.944,1,0.1157,-0.352,0.659,TRUE,"OK"
"P. interruptus","Santa Barbara Island SMR","KFM","Linear",40,0.9404,1,1,0.3533,-0.081,0.474,TRUE,"OK"
"P. interruptus","Anacapa Island SMR 2003","KFM","CI_Linear",17,0.5996,0.984,1,0.3934,-0.089,0.002,TRUE,"OK"
"P. interruptus","South Point SMR","KFM","CI_Linear",17,0.2975,0.984,1,0.0594,0.527,0.213,FALSE,"heteroscedastic"
"S. pulcher","Harris Point SMR","KFM","Linear",37,0.9953,0.936,1,0.785,0.269,0.131,TRUE,"OK"
"S. pulcher","Scorpion SMR","KFM","Step",38,0.4872,0.952,1,0.7223,-0.419,0.378,TRUE,"OK"
"S. pulcher","Anacapa Island SMR 2003","KFM","CI_Linear",17,0.6382,0.984,1,0.6512,-0.182,0.359,TRUE,"OK"
"S. pulcher","South Point SMR","KFM","CI_Linear",17,0.9799,0.984,1,0.9921,0.221,0.209,TRUE,"OK"
"M. pyrifera","Abalone Cove SMCA","Landsat","Linear",36,0.6305,0.984,1,0.346,-0.025,0.309,TRUE,"OK"
"M. pyrifera","Arrow Point to Lion Head Point SMCA","Landsat","Linear",38,0.5792,0.952,1,0.0169,-0.148,0.021,FALSE,"non-normal"
"M. pyrifera","Cabrillo SMR","Landsat","Linear",34,0.8538,0.992,1,0.4528,-0.019,0,TRUE,"OK"
"M. pyrifera","Campus Point SMCA","Landsat","Linear",37,0.1436,0.936,1,0.0036,0.178,0.022,FALSE,"non-normal"
"M. pyrifera","Carrington Pt SMR","Landsat","Linear",37,0.6311,0.936,1,0.0029,0.133,0.321,FALSE,"non-normal"
"M. pyrifera","Farnsworth Onshore SMCA","Landsat","Linear",24,0.6279,0.92,1,0.083,0.311,0.148,TRUE,"OK"
"M. pyrifera","Gull Island SMR","Landsat","Linear",37,0.776,0.936,1,0.7009,-0.22,0.218,TRUE,"OK"
"M. pyrifera","Harris Point SMR","Landsat","Linear",36,0.7179,0.984,1,0.4259,-0.115,0.056,TRUE,"OK"
"M. pyrifera","Judith Rk SMR","Landsat","Linear",37,0.9937,0.936,1,0.6502,0.074,0.021,TRUE,"OK"
"M. pyrifera","Naples SMCA","Landsat","Linear",37,0.2546,0.936,0.2562,1e-04,0.224,0,FALSE,"non-normal"
"M. pyrifera","Point Conception SMR","Landsat","Linear",37,0.4739,0.936,0.2562,0.0375,-0.331,0.024,FALSE,"non-normal"
"M. pyrifera","Point Dume SMCA","Landsat","Linear",37,0.7822,0.936,0.2562,1e-04,0.022,0.007,FALSE,"non-normal"
"M. pyrifera","Point Dume SMR","Landsat","Linear",37,0.9071,0.936,1,0.3696,0.25,0.031,TRUE,"OK"
"M. pyrifera","Point Vicente SMCA","Landsat","Linear",35,0.8089,0.96,1,0.0103,-0.394,0.148,FALSE,"non-normal"
"M. pyrifera","San Miguel Island SC","Landsat","Linear",37,0.4307,0.936,0.2562,0.0045,0.417,0.345,FALSE,"non-normal"
"M. pyrifera","Santa Barbara Island SMR","Landsat","Linear",37,0.9867,0.936,1,0.9413,-0.121,0.325,TRUE,"OK"
"M. pyrifera","Skunk Pt SMR","Landsat","Linear",36,0.3946,0.984,0.2502,1e-04,0.029,0.045,FALSE,"non-normal"
"M. pyrifera","South La Jolla SMR","Landsat","Linear",36,0.1928,0.984,0.2502,0.0048,0.063,0.111,FALSE,"non-normal"
"M. pyrifera","South Point SMR","Landsat","Linear",37,0.22,0.936,1,0.0211,0.229,0,FALSE,"non-normal"
"M. pyrifera","Swamis SMCA","Landsat","Linear",37,0.1275,0.936,0.2562,0,-0.131,0.074,FALSE,"non-normal"
