"Taxa","Estimate","SE","tval","pval","CI_lower","CI_upper","Response"
"S. purpuratus",-0.0415,0.2953,-0.1404,0.8883,-0.6203,0.5374,"Biomass"
"M. franciscanus",-0.0667,0.3606,-0.1849,0.8533,-0.7734,0.64,"Biomass"
"M. pyrifera",0.0297,0.3028,0.098,0.9219,-0.5639,0.6233,"Biomass"
"P. interruptus",-0.0146,0.2124,-0.0687,0.9452,-0.4309,0.4017,"Biomass"
"S. pulcher",-0.2157,0.423,-0.51,0.61,-1.0447,0.6133,"Biomass"
"M. pyrifera",-0.1007,0.2625,-0.3834,0.7014,-0.6152,0.4139,"Density"
"P. interruptus",-0.3922,0.4754,-0.8251,0.4093,-1.3239,0.5395,"Density"
"S. pulcher",0.0831,0.302,0.2751,0.7833,-0.5088,0.675,"Density"
