"Taxa","Resp","Total_Generated","Passed_SiteMerge","Passed_TypeFilter","Passed_MPAFilter","Final_Included","Excluded"
"M. franciscanus","Bio",23,23,12,23,12,11
"M. franciscanus","Den",28,28,13,28,13,15
"M. pyrifera","Bio",49,49,36,45,32,17
"P. interruptus","Bio",12,12,7,12,7,5
"P. interruptus","Den",28,28,16,28,16,12
"S. pulcher","Bio",35,35,18,35,18,17
"S. pulcher","Den",41,41,21,41,21,20
"S. purpuratus","Bio",20,20,10,20,10,10
"S. purpuratus","Den",25,25,12,25,12,13
