"event_id","mpa","taxa","model_type","success","message"
1,"unknown","unknown","asymptotic",TRUE,"Using piecewise linear as fallback (EXCLUDED from AICc)"
2,"unknown","unknown","sigmoid",TRUE,"Using 4PL parameterization"
3,"unknown","unknown","asymptotic",TRUE,"Excluded from AICc: fallback=piecewise (not a true NLS fit)"
4,"unknown","unknown","asymptotic",TRUE,"Using piecewise linear as fallback (EXCLUDED from AICc)"
5,"unknown","unknown","sigmoid",TRUE,"Using 4PL parameterization"
6,"unknown","unknown","asymptotic",TRUE,"Excluded from AICc: fallback=piecewise (not a true NLS fit)"
7,"unknown","unknown","sigmoid",TRUE,"Using 4PL parameterization"
8,"unknown","unknown","asymptotic",TRUE,"Using piecewise linear as fallback (EXCLUDED from AICc)"
9,"unknown","unknown","asymptotic",TRUE,"Excluded from AICc: fallback=piecewise (not a true NLS fit)"
10,"unknown","unknown","asymptotic",TRUE,"Using piecewise linear as fallback (EXCLUDED from AICc)"
11,"unknown","unknown","asymptotic",TRUE,"Excluded from AICc: fallback=piecewise (not a true NLS fit)"
12,"unknown","unknown","asymptotic",TRUE,"Using piecewise linear as fallback (EXCLUDED from AICc)"
13,"unknown","unknown","asymptotic",TRUE,"Excluded from AICc: fallback=piecewise (not a true NLS fit)"
14,"unknown","unknown","sigmoid",TRUE,"Using 4PL parameterization"
15,"unknown","unknown","sigmoid",TRUE,"Using 4PL parameterization"
