"model","residual","fitted","std_residual","species","time","MPA","source","resp"
"pooled",-5.21414069730155,-0.209645571402653,-2.74546112332182,"Mesocentrotus franciscanus",7,"Campus Point SMCA","LTER","pooled"
"pooled",0.849565119409372,-0.79795061706734,0.447331236818331,"Strongylocentrotus purpuratus",7,"Campus Point SMCA","LTER","pooled"
"pooled",-4.59286756362666,-0.273042949055939,-2.4183350761955,"Mesocentrotus franciscanus",8,"Campus Point SMCA","LTER","pooled"
"pooled",-0.137764553919274,-1.11745519871342,-0.0725387458671536,"Strongylocentrotus purpuratus",11,"Campus Point SMCA","LTER","pooled"
"pooled",-0.686575754598444,0.229150907559569,-0.361510582835038,"Strongylocentrotus purpuratus",5,"Naples SMCA","LTER","pooled"
"pooled",1.4329840446211,0.721101040054504,0.754525474712206,"Mesocentrotus franciscanus",6,"Naples SMCA","LTER","pooled"
"pooled",0.91742338854922,0.14927476214805,0.483061427205363,"Strongylocentrotus purpuratus",6,"Naples SMCA","LTER","pooled"
"pooled",1.10588492986014,0.657703662401218,0.582294237547099,"Mesocentrotus franciscanus",7,"Naples SMCA","LTER","pooled"
"pooled",0.862795517337538,0.0693986167365312,0.454297589524665,"Strongylocentrotus purpuratus",7,"Naples SMCA","LTER","pooled"
"pooled",-0.221902038900656,0.594306284747932,-0.11684061791867,"Mesocentrotus franciscanus",8,"Naples SMCA","LTER","pooled"
"pooled",0.260395113594255,-0.0104775286749879,0.137108816692649,"Strongylocentrotus purpuratus",8,"Naples SMCA","LTER","pooled"
"pooled",-0.264799319896993,0.530908907094646,-0.13942781379787,"Mesocentrotus franciscanus",9,"Naples SMCA","LTER","pooled"
"pooled",0.306178844593037,-0.090353674086507,0.161215848097235,"Strongylocentrotus purpuratus",9,"Naples SMCA","LTER","pooled"
"pooled",1.24546706193358,0.467511529441361,0.655790013623168,"Mesocentrotus franciscanus",10,"Naples SMCA","LTER","pooled"
"pooled",0.723906465996487,-0.170229819498026,0.381166749171768,"Strongylocentrotus purpuratus",10,"Naples SMCA","LTER","pooled"
"pooled",1.00368641455278,0.404114151788075,0.528482484676142,"Mesocentrotus franciscanus",11,"Naples SMCA","LTER","pooled"
"pooled",1.20136107813879,-0.250105964909545,0.632566385638385,"Strongylocentrotus purpuratus",11,"Naples SMCA","LTER","pooled"
"pooled",-0.78456477468047,1.03808792832093,-0.413105862050812,"Mesocentrotus franciscanus",1,"Naples SMCA","LTER","pooled"
"pooled",0.341814543046766,0.548655489205646,0.179979519886484,"Strongylocentrotus purpuratus",1,"Naples SMCA","LTER","pooled"
"pooled",-0.46546620826863,0.974690550667647,-0.245087245091583,"Mesocentrotus franciscanus",2,"Naples SMCA","LTER","pooled"
"pooled",-0.818154985251248,0.468779343794127,-0.430792499715574,"Strongylocentrotus purpuratus",2,"Naples SMCA","LTER","pooled"
"pooled",-0.17967971162662,0.911293173014361,-0.094608813140746,"Mesocentrotus franciscanus",3,"Naples SMCA","LTER","pooled"
"pooled",-0.388903198382608,0.388903198382608,-0.20477364802364,"Strongylocentrotus purpuratus",3,"Naples SMCA","LTER","pooled"
"pooled",1.47589150528357,0.847895795361075,0.77711803060742,"Mesocentrotus franciscanus",4,"Naples SMCA","LTER","pooled"
"pooled",-0.861592282909844,0.309027052971088,-0.453664036742865,"Strongylocentrotus purpuratus",4,"Naples SMCA","LTER","pooled"
