"Taxa","Resp","Stage1_Generated","Stage2_SiteMerge","Stage3_TypeFilter","Stage4_SumStatsFinal","Stage6_FinalK"
"M. franciscanus","Bio",24,24,14,14,4
"M. franciscanus","Den",28,28,16,16,3
"M. pyrifera","Bio",50,50,37,31,17
"P. interruptus","Bio",8,8,5,5,2
"P. interruptus","Den",29,29,17,17,2
"S. pulcher","Bio",35,35,18,18,10
"S. pulcher","Den",41,41,22,22,9
"S. purpuratus","Bio",20,20,10,10,3
"S. purpuratus","Den",25,25,13,13,4
