"taxon","pyc_group","n_mpa","compound_before","p_compound","after_before","p_after"
"Macrocystis pyrifera","high",5,0.846,0.0717,1.481,0.000473
"Macrocystis pyrifera","low/zero",6,1.718,0.021,1.598,0.0284
"Macrocystis pyrifera","after x high (interaction)",11,NA,NA,-0.148,0.859
"Strongylocentrotus purpuratus","high",5,-0.487,0.255,-0.41,0.434
"Strongylocentrotus purpuratus","low/zero",6,-0.815,0.0496,-1.086,0.00813
"Strongylocentrotus purpuratus","after x high (interaction)",11,NA,NA,0.234,0.742
"Mesocentrotus franciscanus","high",5,-0.13,0.689,-0.226,0.576
"Mesocentrotus franciscanus","low/zero",6,-0.247,0.466,-0.612,0.129
"Mesocentrotus franciscanus","after x high (interaction)",11,NA,NA,0.337,0.556
