"mpa","pyc_pre","pis_pre","lat","pyc_group"
"Harris Point SMR",4.496,13.35,34.038,"high"
"Naples SMCA",2.617,27.87,34.423,"high"
"Painted Cave SMCA",2.45,19.99,34.065,"high"
"South Point SMR",2.163,5.81,33.905,"high"
"Begg Rock SMR",1.682,5.64,33.263,"high"
"Point Conception SMR",1.2,4.12,34.442,"high"
"Gull Island SMR",0.85,6.61,33.996,"high"
"Campus Point SMCA",0.648,26.22,34.404,"high"
"Scorpion SMR",0.333,10.43,34.045,"low/zero"
"Point Vicente SMCA",0.264,8.41,33.764,"low/zero"
"Point Dume SMR",0.14,12.68,34.006,"low/zero"
"Abalone Cove SMCA",0.078,10.96,33.719,"low/zero"
"Cabrillo SMR",0.056,6.94,32.665,"low/zero"
"Santa Barbara Island SMR",0.028,6.25,33.471,"low/zero"
"Anacapa Island SMCA",0.014,4.03,34.015,"low/zero"
"Point Dume SMCA",0.014,20.32,34.04,"low/zero"
"Anacapa Island SMR 2003",0,3.36,34.007,"low/zero"
"Anacapa Island SMR 1978",0,2.28,34.015,"low/zero"
"Matlahuayl SMR",0,0.4,32.851,"low/zero"
"Crystal Cove SMCA",0,3.67,33.563,"low/zero"
"Dana Point SMCA",0,1,33.443,"low/zero"
"Laguna Beach SMR",0,2.42,33.535,"low/zero"
"Swamis SMCA",0,1.57,33.052,"low/zero"
"South La Jolla SMR",0,1.75,32.764,"low/zero"
"Farnsworth Onshore SMCA",0,0.71,33.343,"low/zero"
"Blue Cavern Onshore SMCA",0,2.04,33.445,"low/zero"
"Cat Harbor SMCA",0,0.67,33.439,"low/zero"
"Lover's Cove SMCA",0,0.33,33.331,"low/zero"
"Long Point SMR",0,0.67,33.406,"low/zero"
"Arrow Point to Lion Head Point SMCA",0,1.56,33.465,"low/zero"
