"target","k","n_predictors","metareg_pseudoR2","rf_oob_R2","loo_cv_R2","loo_predictors"
"Giant kelp effectiveness (biomass lnRR)",12,7,0.714,-0.256,0.401,"smr + cs_mean + est_year"
"Purple urchin suppression (density lnRR)",10,7,0,-0.614,-4.664,"cs_mean + log_size + island"
