"response","predictor","n","slope","SE","p"
"kelp","purple urchin",267,-0.211,0.105,0.0449
"kelp","red urchin",267,-0.256,0.128,0.0462
"purple urchin","lobster",260,-0.007,0.061,0.91
"purple urchin","sheephead",271,-0.017,0.077,0.826
"kelp","lobster",249,0.314,0.106,0.00304
"kelp","sheephead",263,-0.099,0.131,0.45
