"Term","Estimate","SE","t_value"
"(Intercept)",-0.678014123045106,0.612676170653844,-1.10664353457967
"SpeciesSemicossyphus pulcher",1.87044197512885,0.623722146899067,2.99883848028813
"SpeciesStrongylocentrotus purpuratus",0.711566248818675,0.619374098004448,1.14884728165298
"SpeciesMesocentrotus franciscanus",1.29422006095937,0.619478445267075,2.08920919016221
"SpeciesMacrocystis pyrifera",0.042782226313724,0.61552433455666,0.0695053370140735
"time",0.15244636597384,0.0807224745843706,1.88852443831494
"SpeciesSemicossyphus pulcher:time",-0.177907372194372,0.0841310817454836,-2.11464500994512
"SpeciesStrongylocentrotus purpuratus:time",-0.222639990496466,0.0838428646216796,-2.65544350734048
"SpeciesMesocentrotus franciscanus:time",-0.202481281552937,0.0838429615132653,-2.41500631535899
"SpeciesMacrocystis pyrifera:time",-0.0132542260106195,0.0832387353575212,-0.159231467821933
