"year","status","star_density","n"
2008,"mpa",14.88,154
2008,"reference",7.96,289
2009,"mpa",12.89,192
2009,"reference",7.5,260
2010,"mpa",12.59,182
2010,"reference",11.57,194
2011,"mpa",9.71,258
2011,"reference",9.37,280
2012,"mpa",9.82,256
2012,"reference",9.37,296
2013,"mpa",8.42,148
2013,"reference",7.48,160
2014,"mpa",0.37,142
2014,"reference",0.2,180
2015,"mpa",0.05,130
2015,"reference",0.06,194
2016,"mpa",0.03,144
2016,"reference",0.04,194
2017,"mpa",0.13,136
2017,"reference",0.12,190
2018,"mpa",0.13,152
2018,"reference",0.11,212
2019,"mpa",0.11,262
2019,"reference",0.08,292
2020,"mpa",0.11,238
2020,"reference",0.12,254
2021,"mpa",0.1,258
2021,"reference",0.08,298
2022,"mpa",0.11,262
2022,"reference",0.15,286
