"Taxa","k","Estimate","SE","pval","Response","Method"
"M. franciscanus",5,0.0032,0.2308,0.98892159372426,"Biomass","Joint Cook's D (4/n) (legacy)"
"M. franciscanus",14,0.5978,0.2214,0.00864356747714289,"Biomass","Joint model, no removal (primary)"
"M. franciscanus",13,0.2051,0.3003,0.507627245016004,"Biomass","Per-taxa Cook's D (4/k) (sensitivity)"
"M. franciscanus",14,-0.1092,0.4012,0.789824948208384,"Biomass","Per-taxa models, no removal (sensitivity)"
"M. pyrifera",17,0.5062,0.1967,0.0156345127426186,"Biomass","Joint Cook's D (4/n) (legacy)"
"M. pyrifera",31,0.6221,0.2302,0.00860093516980388,"Biomass","Joint model, no removal (primary)"
"M. pyrifera",27,1.1516,0.264,0.000180649239392834,"Biomass","Per-taxa Cook's D (4/k) (sensitivity)"
"M. pyrifera",31,0.6662,0.2779,0.0229770588736704,"Biomass","Per-taxa models, no removal (sensitivity)"
"P. interruptus",1,0.2319,0.7813,0.76875456635556,"Biomass","Joint Cook's D (4/n) (legacy)"
"P. interruptus",5,0.2223,0.305,0.468462874358644,"Biomass","Joint model, no removal (primary)"
"P. interruptus",5,0.2987,0.5213,0.597351536252674,"Biomass","Per-taxa Cook's D (4/k) (sensitivity)"
"P. interruptus",5,0.2987,0.5213,0.597351536252674,"Biomass","Per-taxa models, no removal (sensitivity)"
"S. pulcher",6,1.4225,0.2853,2.88309454023273e-05,"Biomass","Joint Cook's D (4/n) (legacy)"
"S. pulcher",16,1.0961,0.2261,7.11840336028461e-06,"Biomass","Joint model, no removal (primary)"
"S. pulcher",15,0.8995,0.1833,0.000230705536374836,"Biomass","Per-taxa Cook's D (4/k) (sensitivity)"
"S. pulcher",16,1.0228,0.2023,0.000142148499337691,"Biomass","Per-taxa models, no removal (sensitivity)"
"S. purpuratus",4,-1.1621,0.275,0.0002284798617857,"Biomass","Joint Cook's D (4/n) (legacy)"
"S. purpuratus",10,-0.4461,0.2368,0.0636595147233585,"Biomass","Joint model, no removal (primary)"
"S. purpuratus",10,-0.7908,0.222,0.00609443338898518,"Biomass","Per-taxa Cook's D (4/k) (sensitivity)"
"S. purpuratus",10,-0.7908,0.222,0.00609443338898518,"Biomass","Per-taxa models, no removal (sensitivity)"
"M. franciscanus",3,-0.9501,0.7038,0.201904668818162,"Density","Joint Cook's D (4/n) (legacy)"
"M. franciscanus",16,-0.3991,0.3744,0.290581536136484,"Density","Joint model, no removal (primary)"
"M. franciscanus",15,-0.3622,0.3727,0.34768422567102,"Density","Per-taxa Cook's D (4/k) (sensitivity)"
"M. franciscanus",16,-0.8392,0.585,0.171944409758214,"Density","Per-taxa models, no removal (sensitivity)"
"P. interruptus",2,1.108,0.6879,0.133237117610233,"Density","Joint Cook's D (4/n) (legacy)"
"P. interruptus",17,1.0836,0.3756,0.00537538502711754,"Density","Joint model, no removal (primary)"
"P. interruptus",15,1.3099,0.3371,0.00164707002870682,"Density","Per-taxa Cook's D (4/k) (sensitivity)"
"P. interruptus",17,0.9477,0.3501,0.0155488448992575,"Density","Per-taxa models, no removal (sensitivity)"
"S. pulcher",7,0.1251,0.5989,0.837976935387845,"Density","Joint Cook's D (4/n) (legacy)"
"S. pulcher",20,-0.1728,0.3736,0.645361410079303,"Density","Joint model, no removal (primary)"
"S. pulcher",16,0.1355,0.2472,0.591682637639389,"Density","Per-taxa Cook's D (4/k) (sensitivity)"
"S. pulcher",20,0.3812,0.1744,0.0415853892494142,"Density","Per-taxa models, no removal (sensitivity)"
"S. purpuratus",4,-2.4705,0.6901,0.00378313588881127,"Density","Joint Cook's D (4/n) (legacy)"
"S. purpuratus",13,-1.4692,0.3827,0.000292438765563097,"Density","Joint model, no removal (primary)"
"S. purpuratus",12,-1.4503,0.2813,0.000315674911289302,"Density","Per-taxa Cook's D (4/k) (sensitivity)"
"S. purpuratus",13,-1.1777,0.4173,0.0153988036672548,"Density","Per-taxa models, no removal (sensitivity)"
