"taxon","compound_before","p_compound","after_before","p_after"
"Panulirus interruptus",0.488,0.0558,0.758,0.00565
"Semicossyphus pulcher",-0.115,0.504,-0.126,0.454
"Strongylocentrotus purpuratus",-0.531,0.0861,-0.57,0.116
"Mesocentrotus franciscanus",-0.24,0.318,-0.474,0.104
"Macrocystis pyrifera",1.297,0.00231,1.581,0.00022
