"period","model","k","AICc","dAICc","weight"
"pre","+seastar*prot+sheephead",11,1899.04,0,0.764
"pre","+sheephead(dens*len)",8,1902.03,2.99,0.171
"pre","+sheephead(dens*len)+protection",9,1903.99,4.95,0.064
"pre","+seastar",6,1946.04,47,0
"pre","+seastar*protection",8,1947.6,48.56,0
"pre","temp+depth",5,1953.56,54.52,0
"pre","+protection",6,1955.58,56.54,0
"post","+sheephead(dens*len)+protection",9,1842.42,0,0.998
"post","+sheephead(dens*len)",8,1854.9,12.48,0.002
"post","+protection",6,1874.73,32.31,0
"post","temp+depth",5,1884.12,41.7,0
