"Taxa","Est_with","Est_without","SE_with","SE_without","pval_with","pval_without","Response"
"P. interruptus",0.389,0.232,0.806,0.775,0.6332,0.7668,"Biomass"
"S. pulcher",1.596,1.432,0.343,0.282,1e-04,0,"Biomass"
"S. purpuratus",-0.841,-1.004,0.344,0.273,0.0206,9e-04,"Biomass"
"M. franciscanus",0.23,0.092,0.286,0.202,0.4281,0.6518,"Biomass"
"M. pyrifera",0.617,0.658,0.26,0.184,0.0243,0.0012,"Biomass"
"P. interruptus",1.108,0.745,0.688,0.445,0.1332,0.1196,"Density"
"S. pulcher",0.125,0.317,0.599,0.275,0.838,0.2713,"Density"
"S. purpuratus",-2.471,-2.122,0.69,0.44,0.0038,4e-04,"Density"
"M. franciscanus",-0.95,-0.311,0.704,0.394,0.2019,0.4456,"Density"
