"Model","AIC","BIC","logLik","tau2_MPA","tau2_Source","deltaAIC","Response"
"With Source",112.845020841391,123.732457271817,-49.4225104206957,0.195771147326408,0.0693270600865458,2.0000000105298,"Biomass"
"Without Source",110.845020830862,120.177109199798,-49.4225104154308,0.184430984592613,NA,0,"Biomass"
"With Source",53.7188556988007,58.3543880322394,-20.8594278494003,0.399550119665528,0.743759824751629,2.00000000530004,"Density"
"Without Source",51.7188556935006,55.5817993046996,-20.8594278467503,0.401260743547423,NA,0,"Density"
