"taxon","role","MHW1_dlnRR","MHW1_p","MHW2_dlnRR","MHW2_p","MHW2_vs_interim_dlnRR","MHW2_vs_interim_p","replication"
"Panulirus interruptus","Predator",0.494,0.042,0.912,0.00169,0.374,0.253,"REPEATS (both sig, same sign)"
"Semicossyphus pulcher","Predator",-0.075,0.701,-0.024,0.914,0.201,0.446,"same direction, not both sig"
"Strongylocentrotus purpuratus","Herbivore",-0.549,0.0695,-0.816,0.0371,-0.562,0.109,"same direction, not both sig"
"Mesocentrotus franciscanus","Herbivore",-0.23,0.317,-0.582,0.0554,-0.344,0.206,"same direction, not both sig"
"Macrocystis pyrifera","Producer",1.565,0.00052,2.114,6.86e-05,0.395,0.487,"REPEATS (both sig, same sign)"
