"MPA","P. interruptus (Bio)","S. pulcher (Bio)","S. purpuratus (Bio)","M. franciscanus (Bio)","M. pyrifera (Bio)","P. interruptus (Den)","S. pulcher (Den)","S. purpuratus (Den)","M. franciscanus (Den)"
"Abalone Cove SMCA","PISCO/Mean","PISCO/Linear","PISCO/Mean","PISCO/Linear","Landsat/Linear; PISCO/Mean","PISCO/Mean","PISCO/Linear","PISCO/Linear","PISCO/Linear"
"Anacapa Island SMR 2003","","PISCO/Mean","KFM/Linear","KFM/Linear","KFM/Mean; PISCO/Mean","PISCO/Mean; KFM/Mean","PISCO/Linear; KFM/Linear","KFM/Linear; PISCO/Linear","PISCO/Linear; KFM/Linear"
"Blue Cavern Onshore SMCA","","PISCO/Mean","","","","","PISCO/Linear","",""
"Cabrillo SMR","","","","","Landsat/Linear","","","",""
"Campus Point SMCA","LTER/Linear","LTER/Linear; PISCO/Mean","PISCO/Linear","PISCO/Mean","Landsat/Linear; LTER/Linear; PISCO/Linear","LTER/Mean; PISCO/Linear","PISCO/Mean; LTER/Linear","PISCO/Linear","PISCO/Linear"
"Cat Harbor SMCA","","PISCO/Mean","","","","","PISCO/Mean","",""
"Dana Point SMCA","","PISCO/Mean","","","","","PISCO/Mean","",""
"Farnsworth Onshore SMCA","","PISCO/Mean","","","Landsat/Linear","","PISCO/Mean","",""
"Gull Island SMR","","PISCO/Linear","PISCO/Linear","PISCO/Mean; KFM/Linear","KFM/Linear; PISCO/Linear; Landsat/Linear","KFM/Sigmoid; PISCO/Mean","PISCO/Linear","PISCO/Linear","PISCO/Linear; KFM/Step"
"Harris Point SMR","","PISCO/Mean","PISCO/Mean","PISCO/Mean; KFM/Sigmoid","PISCO/Mean; Landsat/Linear","PISCO/Linear","PISCO/Mean; KFM/Linear","PISCO/Mean","PISCO/Mean; KFM/Linear"
"Long Point SMR","","PISCO/Mean","","","","","PISCO/Mean","",""
"Matlahuayl SMR","PISCO/Mean","PISCO/Mean","","","PISCO/Mean","PISCO/Mean","PISCO/Mean","PISCO/Linear","PISCO/Linear"
"Naples SMCA","LTER/Mean","PISCO/Mean","PISCO/Mean","LTER/Mean; PISCO/Mean","LTER/Linear; PISCO/Mean; Landsat/Linear","LTER/Mean; PISCO/Mean","PISCO/Mean","PISCO/Mean","LTER/Step; PISCO/Mean"
"Point Dume SMCA","","","","","Landsat/Linear","","","",""
"Point Dume SMR","","","","","Landsat/Linear","","","",""
"Point Vicente SMCA","PISCO/Mean","PISCO/Linear","PISCO/Mean","PISCO/Mean","PISCO/Mean; Landsat/Linear","PISCO/Mean","PISCO/Mean","PISCO/Mean","PISCO/Mean"
"Santa Barbara Island SMR","","PISCO/Linear","","","KFM/Linear; Landsat/Linear","KFM/Linear","PISCO/Mean","KFM/Step",""
"Scorpion SMR","","PISCO/Mean","PISCO/Linear","PISCO/Mean; KFM/Step","KFM/Sigmoid; PISCO/Linear","KFM/Linear; PISCO/Mean","PISCO/Mean; KFM/Step","PISCO/Linear","PISCO/Linear; KFM/Step"
"Skunk Pt SMR","","","","","Landsat/Linear","","","",""
"South Point SMR","","PISCO/Mean","PISCO/Linear; KFM/Linear","PISCO/Mean; KFM/Mean","KFM/Linear; PISCO/Mean; Landsat/Linear","KFM/Mean; PISCO/Linear","PISCO/Mean; KFM/Mean","KFM/Linear; PISCO/Linear","PISCO/Mean; KFM/Mean"
"Swamis SMCA","","PISCO/Mean","","","Landsat/Linear","","PISCO/Mean","",""
