"taxon","n_mpa","pearson_r","pearson_p","spearman_rho","spearman_p","median_MHW1","median_MHW2","delta_MHW2_minus_MHW1","priming_p"
"Macrocystis pyrifera",10,0.627,0.0522,0.709,0.0275,0.559,0.634,0.167,0.625
"Strongylocentrotus purpuratus",10,0.875,0.000908,0.842,0.00446,-0.633,-0.417,-0.542,0.275
