"substrate","waypoint","taxon","role","lnRR_before","lnRR_during","lnRR_after","dDB","dDB_se","dDB_p","dAB","dAB_se","dAB_p"
"OURS","WP3 paired|prop|LMM-lnRR","Mesocentrotus franciscanus","Herbivore",0.1817,-0.1377,-0.4704,-0.3194,0.1809,0.07839,-0.6522,0.1388,3.997e-06
"OURS","WP4 paired|prop|AR1-LMM","Mesocentrotus franciscanus","Herbivore",0.004657,-0.2352,-0.4696,-0.2399,0.2401,0.3176,-0.4743,0.2921,0.1045
"OURS","WP5 paired|prop|IV-meta","Mesocentrotus franciscanus","Herbivore",0.1699,-0.1643,-0.4319,-0.3343,0.1028,0.001149,-0.6019,0.09373,1.352e-10
"OURS","WP0 pooled|raw|Tweedie-GLMM","Macrocystis pyrifera","Producer",-0.2307,0.5508,0.8255,0.7815,0.298,0.008722,1.056,0.2177,1.228e-06
"OURS","WP1 pooled|prop|Tweedie-GLMM","Macrocystis pyrifera","Producer",-0.1094,0.5195,0.8032,0.6289,0.2712,0.02039,0.9126,0.2063,9.735e-06
"OURS","WP2 pooled|prop|LMM-log","Macrocystis pyrifera","Producer",-0.1984,0.9472,1.228,1.146,0.4755,0.01629,1.426,0.3609,8.688e-05
"OURS","WP3 paired|prop|LMM-lnRR","Macrocystis pyrifera","Producer",-0.2556,0.9517,1.266,1.207,0.3346,0.0003627,1.522,0.2564,8.136e-09
"OURS","WP4 paired|prop|AR1-LMM","Macrocystis pyrifera","Producer",-0.2865,0.9895,1.276,1.276,0.4247,0.002658,1.562,0.4262,0.0002471
"OURS","WP5 paired|prop|IV-meta","Macrocystis pyrifera","Producer",-0.297,0.858,1.143,1.155,0.1942,2.702e-09,1.44,0.1597,1.902e-19
"THEIRS","WP0 pooled|raw|Tweedie-GLMM","Panulirus interruptus","Predator",0.9755,0.9745,1.072,-0.0009405,0.2232,0.9966,0.09686,0.151,0.5213
