"Term","Estimate","SE","t_value","df","p_value"
"(Intercept)",0.229257355017468,0.243493290891393,0.941534586756746,22.3217478799223,0.356509888917928
"SpeciesSemicossyphus pulcher",0.326696674273555,0.219947016185198,1.4853426063233,1078.49484105789,0.137745319191311
"SpeciesStrongylocentrotus purpuratus",-0.134929593874913,0.228203794549351,-0.591267967920375,1065.50969147621,0.554466297324654
"SpeciesMesocentrotus franciscanus",0.268818474815905,0.228203794549351,1.1779754817257,1065.50969171667,0.239069405620655
"time",0.0917879648051561,0.0192177733202149,4.77620186666505,24.5018755622212,6.98118143558284e-05
"SpeciesSemicossyphus pulcher:time",-0.120343635911407,0.0207169117776548,-5.80895633494994,1070.27875410085,8.28314554583627e-09
"SpeciesStrongylocentrotus purpuratus:time",-0.185338009353853,0.0215658041469829,-8.5940690219883,1065.5096912225,2.95038029895167e-17
"SpeciesMesocentrotus franciscanus:time",-0.16651939107138,0.0215658041469829,-7.72145522311423,1065.50969134648,2.64063493597798e-14
