"Map_Label","MPA","type","Location","Lat","Lon","Data_Sources"
"Harris Pt.","Harris Point SMR","SMR","C",34.053,-120.3424,"KFM, Landsat, PISCO"
"South Pt.","South Point SMR","SMR","C",33.9022,-120.1391,"KFM, Landsat, PISCO"
"Carrington Pt.","Carrington Pt SMR","SMR","C",34.027,-120.0473,"Landsat"
"Skunk Pt.","Skunk Pt SMR","SMR","C",33.9588,-119.9733,"Landsat"
"Gull Is.","Gull Island SMR","SMR","C",33.9562,-119.8234,"KFM, Landsat, PISCO"
"Scorpion","Scorpion SMR","SMR","C",34.05428,-119.5669,"KFM, PISCO"
"Anacapa Is.","Anacapa Island SMR 2003","SMR","C",34.008,-119.3983,"KFM, PISCO"
"Santa Barbara Is.","Santa Barbara Island SMR","SMR","C",33.4658,-119.0306,"KFM, Landsat, PISCO"
"Blue Cavern","Blue Cavern Onshore SMCA","SMCA","C",33.4466,-118.4764,"PISCO"
"Farnsworth","Farnsworth Onshore SMCA","SMCA","C",33.3339,-118.473,"Landsat, PISCO"
"Long Point","Long Point SMR","SMR","C",33.24,-118.21,"PISCO"
"Naples","Naples SMCA","SMCA","ML",34.4321,-119.9514,"Landsat, LTER, PISCO"
"Campus Pt.","Campus Point SMCA","SMCA","ML",34.4049,-119.8651,"Landsat, LTER, PISCO"
"Pt. Dume SMCA","Point Dume SMCA","SMCA","ML",34.0344,-118.872,"Landsat"
"Pt. Dume SMR","Point Dume SMR","SMR","ML",34.0079,-118.7917,"Landsat"
"Pt. Vicente","Point Vicente SMCA","SMCA","ML",33.7403,-118.4087,"Landsat, PISCO"
"Abalone Cove","Abalone Cove SMCA","SMCA","ML",33.7392,-118.3857,"Landsat, PISCO"
"Swamis","Swamis SMCA","SMCA","ML",33.0212,-117.2936,"Landsat, PISCO"
"South La Jolla","South La Jolla SMR","SMR","ML",32.8121,-117.288,"Landsat"
"Matlahuayl","Matlahuayl SMR","SMR","ML",32.85167,-117.2783,"PISCO"
"Cabrillo","Cabrillo SMR","SMR","ML",32.6628,-117.2464,"Landsat"
