"Taxa","k","n_MPAs","Estimate","SE","tval","pval","CI_lower","CI_upper","tau2","I2","QE","QEp","model_type","Response","RR","RR_lower","RR_upper","Pct_Change","pval_fdr"
"S. purpuratus",10,9,-0.4461,0.2368,-1.884,0.0636595147233585,-0.9182,0.026,0.2262,77.7,566.446,2.5808703681173e-78,"joint multilevel RE (rma.mv)","Biomass",0.64,0.399,1.026,-36,0.0954892720850377
"M. franciscanus",14,9,0.5978,0.2214,2.7008,0.00864356747714289,0.1565,1.0392,0.2262,77.7,566.446,2.5808703681173e-78,"joint multilevel RE (rma.mv)","Biomass",1.818,1.169,2.827,81.8,0.0155584214588572
"M. pyrifera",31,17,0.6221,0.2302,2.7026,0.00860093516980388,0.1631,1.0811,0.2262,77.7,566.446,2.5808703681173e-78,"joint multilevel RE (rma.mv)","Biomass",1.863,1.177,2.948,86.3,0.0155584214588572
"P. interruptus",5,5,0.2223,0.305,0.7289,0.468462874358644,-0.3858,0.8305,0.2262,77.7,566.446,2.5808703681173e-78,"joint multilevel RE (rma.mv)","Biomass",1.249,0.68,2.294,24.9,0.527020733653475
"S. pulcher",16,15,1.0961,0.2261,4.8477,7.11840336028461e-06,0.6452,1.5469,0.2262,77.7,566.446,2.5808703681173e-78,"joint multilevel RE (rma.mv)","Biomass",2.992,1.906,4.697,199.2,6.40656302425615e-05
"S. purpuratus",13,11,-1.4692,0.3827,-3.839,0.000292438765563097,-2.2341,-0.7042,0.839,95.5,893.8359,1.04538512975157e-147,"joint multilevel RE (rma.mv)","Density",0.23,0.107,0.495,-77,0.00131597444503394
"M. franciscanus",16,10,-0.3991,0.3744,-1.0659,0.290581536136484,-1.1474,0.3493,0.839,95.5,893.8359,1.04538512975157e-147,"joint multilevel RE (rma.mv)","Density",0.671,0.317,1.418,-32.9,0.373604832175479
"P. interruptus",17,11,1.0836,0.3756,2.8851,0.00537538502711754,0.3328,1.8343,0.839,95.5,893.8359,1.04538512975157e-147,"joint multilevel RE (rma.mv)","Density",2.955,1.395,6.261,195.5,0.0155584214588572
"S. pulcher",20,15,-0.1728,0.3736,-0.4625,0.645361410079303,-0.9195,0.574,0.839,95.5,893.8359,1.04538512975157e-147,"joint multilevel RE (rma.mv)","Density",0.841,0.399,1.775,-15.9,0.645361410079303
