"Model","n_obs","n_MPAs","QM","QM_df","QM_pval","QE","QE_df","QE_pval","sigma2_MPA","sigma2_Source","tau2","I2","H2"
"Type (SMR vs SMCA)",142,19,111.313915029977,5,2.66691588729917e-46,1520.90714440318,136,1.77470856733713e-232,0.203665346544599,1.54357415521879e-09,0.203665348088174,80.3,5.07
"Location (ML vs CI)",142,19,111.389141356498,5,2.57074971829009e-46,1521.33895816212,136,1.45749884775994e-232,0.192191525855732,1.95385365912119e-09,0.192191527809586,79.3,4.84
