"x_species","y_species","n_years","pearson_r","pearson_p","pearson_ci_lb","pearson_ci_ub","spearman_rho","spearman_p"
"S. purpuratus (inv)","M. pyrifera",20,0.53207173363595,0.0157433814913589,0.117129395611863,0.788854512289748,0.610526315789474,0.00424878265194704
"M. franciscanus (inv)","M. pyrifera",20,0.248645207165955,0.290469791321362,-0.217845232176623,0.622654857230462,0.306766917293233,0.188323198478558
"P. interruptus","S. purpuratus (inv)",20,-0.831140307791985,5.6435838861923e-06,-0.931177083414667,-0.614706730301955,-0.83609022556391,4.40125424807686e-06
"S. pulcher","M. franciscanus (inv)",20,0.510961574969137,0.0213144212975838,0.0884374930501861,0.777647592318629,0.530827067669173,0.0160354443767762
