"taxon","KS_uniformity_p","dispersion_p","outlier_p","mean_lag1_resid_ACF"
"Panulirus interruptus",5.98e-07,0.83,0.702,0.09
"Semicossyphus pulcher",0.00246,0.865,0.171,0.12
"Strongylocentrotus purpuratus",0.0224,0.975,0.128,0.32
"Mesocentrotus franciscanus",0.0269,0.925,0.128,0.38
"Macrocystis pyrifera",0.00111,0.55,0.0029,0.26
