"year","pyc","n"
2008,2.21,200
2009,1.886,236
2010,3.017,180
2011,2.744,180
2012,2.344,180
2013,0.868,38
2014,0.028,144
2015,0,114
2016,0,96
2017,0,108
2018,0,144
2019,0,144
2020,0,132
2021,0,144
2022,0,132
